version,number of symbols,added symbols,removed symbols
5.6.2,367,0,0
5.6.1,367,0,0
5.6.0,367,5,1
5.5.5,363,0,0
5.5.3,363,0,0
5.5.2,363,0,0
5.5.1,363,0,0
5.5.0,363,55,1
5.4.2,309,0,49
5.4.0,358,49,0
5.3.2,309,1,0
5.3.0,308,33,55
5.2.2,330,56,0
5.1.4,274,0,49
5.1.3,323,0,0
5.1.1,323,49,0
5.1.0,274,6,0
5.0.7,268,5,273
5.0.4,536,274,4
5.0.3,266,241,58
4.3.19,83,0,0
4.3.18,83,0,0
4.3.15,83,0,0
4.3.14,83,0,0
4.3.11,83,5,0
4.3.9,78,0,0
4.3.8,78,0,0
4.3.7,78,27,37
4.3.4,88,4,1
4.2.9,85,5,115
4.2.5,195,,
